time,kapasite_faktoru
5443,0.945736427
5444,0.8992248
5445,0.837209296
5446,0.73178294
5447,0.421705423
5448,0.201550386
5449,0.047286821
5450,0.012403101
5451,0
5452,0
5453,0
5454,0
5455,0
5456,0
5457,0
5458,0
5459,0
5460,0.024806201
5461,0.111627906
5462,0.335658912
5463,0.548837205
5464,0.711627902
5465,0.895348838
5466,0.85426356
5467,0.856589141
5468,0.902325582
5469,0.779844955
5470,0.654263561
5471,0.499224803
5472,0.209302324
5473,0.048837209
5474,0.001550388
5475,0
5476,0
5477,0
5478,0
5479,0
5480,0
5481,0
5482,0
5483,0
5484,0.008527132
5485,0.115503875
5486,0.331782943
5487,0.556589143
5488,0.715503871
5489,0.864341079
5490,0.910852706
5491,0.886046505
5492,0.820155033
5493,0.765891467
5494,0.701550382
5495,0.486046508
5496,0.264341083
5497,0.055038759
5498,0
5499,0
5500,0
5501,0
5502,0
5503,0
5504,0
5505,0
5506,0
5507,0
5508,0.010852713
5509,0.096899224
5510,0.345736432
5511,0.595348833
5512,0.751162785
5513,0.856589141
5514,0.925581389
5515,0.936434102
5516,0.8992248
5517,0.820930226
5518,0.694573638
5519,0.513178291
5520,0.265891471
5521,0.062790697
5522,0.002325581
5523,0
5524,0
5525,0
5526,0
5527,0
5528,0
5529,0
5530,0
5531,0
5532,0.010077519
5533,0.123255813
5534,0.347286819
5535,0.563565887
5536,0.692248057
5537,0.793798444
5538,0.857364335
5539,0.843410846
5540,0.771317824
5541,0.789147281
5542,0.72558139
5543,0.468992245
5544,0.217054262
5545,0.057364341
5546,0.003875969
5547,0
5548,0
5549,0
5550,0
5551,0
5552,0
5553,0
5554,0
5555,0
5556,0.006976744
5557,0.093798449
5558,0.331007749
5559,0.522480616
5560,0.772868211
5561,0.850387591
5562,0.867441854
5563,0.927906977
5564,0.913178288
5565,0.830232552
5566,0.682945731
5567,0.486821702
5568,0.261240308
5569,0.063565891
5570,0.001550388
5571,0
5572,0
5573,0
5574,0
5575,0
5576,0
5577,0
5578,0
5579,0
5580,0.027131783
5581,0.081395348
5582,0.250387595
5583,0.352713176
5584,0.642635654
5585,0.565116275
5586,0.553488368
5587,0.549612399
5588,0.634108522
5589,0.511627903
5590,0.244186045
5591,0.188372092
5592,0.039534883
5593,0.026356589
5594,0.078294573
5595,0
5596,0
5597,0
5598,0
5599,0
5600,0
5601,0
5602,0
5603,0
5604,0.012403101
5605,0.057364341
5606,0.309302323
5607,0.537209298
5608,0.708527127
5609,0.858139529
5610,0.946511621
5611,0.920930226
5612,0.932558133
5613,0.763565886
5614,0.553488368
5615,0.401550385
5616,0.272093021
5617,0.062790697
5618,0.001550388
5619,0
5620,0
5621,0
5622,0
5623,0
5624,0
5625,0
5626,0
5627,0
5628,0.017829457
5629,0.132558139
5630,0.291472866
5631,0.567441856
5632,0.755038754
5633,0.882170536
5634,0.850387591
5635,0.83178294
5636,0.775510189
5637,0.768217049
5638,0.606201546
5639,0.385271315
5640,0.164341084
5641,0.072868217
5642,0.007751938
5643,0
5644,0
5645,0
5646,0
5647,0
5648,0
5649,0
5650,0
5651,0
5652,0.009302326
5653,0.210204078
5654,0.418367339
5655,0.534693867
5656,0.797959168
5657,0.863265289
5658,1
5659,0.875510187
5660,0.838775494
5661,0.873469371
5662,0.738775496
5663,0.463265297
5664,0.287755096
5665,0.083673468
5666,0.006122449
5667,0
5668,0
5669,0
5670,0
5671,0
5672,0
5673,0
5674,0
5675,0
5676,0.04496124
5677,0.085271317
5678,0.351937982
5679,0.569767438
5680,0.737209297
5681,0.806976738
5682,0.872093017
5683,0.906201544
5684,0.875193792
5685,0.732558134
5686,0.488372089
5687,0.492248058
5688,0.254263564
5689,0.086046511
5690,0.003100775
5691,0
5692,0
5693,0
5694,0
5695,0
